paremeters:
tick: 0.02
popsize: 50
eva_num: 30
n_signages: 10
��ʼ�����: 
Ŀ��1-ʱ��,Ŀ��2-ѹ��,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
0,0,51,89,60,66,102,63,66,46,65,89,79,79,44,79,53,88,88,77,51,76,
0,0,68,61,61,56,57,19,64,24.5,59,73,55,77,61,74,16,61,83,61,83,71,
0,0,73,78.5,61.5,66.5,35,61,60,89,27,61,60,76.5,46,79,101,61,54,76,33.5,70,
0,0,56,75,83,61,42,64,13,80,51,37,104,61,77.5,74,57,55,16,75.5,81,61,
0,0,21,61,18,61,1,86,78,65,92,69.5,69,68,67.5,66,30,61,47,79,49,9,
0,0,73,75,53.5,61,57.5,30,70,89,68,67,36,61,47,61,69,46,84,61,57,75.5,
0,0,67,46,25,61,8,89,62,31,68,63,55.5,75,75,71,64,52.5,79.5,71.5,66,16,
0,0,65,74,73,89,17,79,74,77,1,86,71,88.5,66,66,62,38,46,74,60,72,
0,0,47.5,77,104,64,1,86,83,79,58.5,52.5,58,24,51,47,104,61,3,86,69,46,
0,0,41,64,10,89,89,66,54.5,51.5,73,64,64.5,40.5,31,61,91,61,68,46,43,79,
0,0,46.5,61,42,6,69,88,1,86,28,65,80,61,65,89.5,86,61,41,79,41,71.5,
0,0,46,61,72,67,43.5,75.5,21,70,44,61,90,61,63,29,69.5,70,61,17,45,73,
0,0,61,89,63,74,24,77,74,86,72,72,57.5,23,101,61,104,64,41,68.5,56.5,70,
0,0,87.5,69,72,67,36,79,51,89,1,86,78,79,25,70,66,60,21,63,33,63,
0,0,56,78,62,6,31,63,32,79,82,61,57,42,96,64,46,61,51.5,54,45,61,
0,0,44,61,22,79,61,57,27.5,69.5,10,88,70,89,12,67,48,79,6,86,61,83,
0,0,11,55,94,66,68,77,63.5,31.5,56,86,63,81,84.5,69.5,51,50,91,78.5,64,70,
0,0,66,89,1,86,25,79,37,61,93,79,64.5,85.5,64,80,60,31,52,42,87,70,
0,0,24,74,34,79,55,89,64,19,56.5,20.5,83,68,62.5,81,104,64,80,61,27,69,
0,0,82,77,83,79,41,61.5,67,78,26,79,63,3,61,5,58,89,68,17,80,79,
0,0,66,60,102,61,67,75,41,61,74,16,32.5,66,57,17,21,68,64,89,9,86,
0,0,88,61,41,79,1,89,80,61,1,86,96,64,40,61,86,65,73,46,71.5,19.5,
0,0,12,85,63,57.5,14.5,57,79,61,63,85.5,73,61,74,16,41.5,75.5,58,52,68,46,
0,0,53.5,55.5,16,73,76,63,104,61,57.5,67.5,91,61,38,61,41,72,48,77,73,78,
0,0,64,60,17,71,19,65,79,79,29,79,85.5,71,1,86,48,75,31,61,103,64,
0,0,51,61.5,61,54,55,17.5,58,69,70,46,33,61,6,86,69,46,58,52,62,85,
0,0,58.5,13.5,1,86,62,71,41,61,80,61,59,41,60,89,48,9,66,18,58,50,
0,0,73,89,60,58,90,61,72,69,75.5,68,11,51,30,70,78,79,99,64,43,75.5,
0,0,11,63,43,6,56,23,1,86,67,86,59,18,61,39,60.5,61.5,36,61,73,61,
0,0,12,68,104,64,1,86,73,89,19,79,101,64,38,61,70,46,59,28,92,61,
0,0,48,61,48,61,27,68,81,73,18.5,65.5,57.5,63.5,14,60,29,63,49.5,66,57.5,47,
0,0,64,12,65,73,58,69,46,77,60,83,66,46,96,64,85.5,63.5,89,73,51,36,
0,0,83,67.5,92,64,1,86,70,67.5,30,61,92,67,61,84,66.5,89,56,62.5,64,73,
0,0,59,58.5,57,37,72,16,80,61,63,58,48,64,88,74,66.5,60,40,78.5,65,89,
0,0,45,66,77,61,87,75,2,88,64,33,81.5,71,95,61,5,86,12.5,72.5,66,46,
0,0,57,7,23,61,69,89,88,79,29,61,61,74,46,79,62,66.5,37,61,15,62,
��ǰΪ��2����
Ŀ��1-ʱ��,Ŀ��2-ѹ��,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
0,0,67.5,86.75,87,79,11,89,75,73,61,75,72.5,73.25,51.5,57,62,1,21,61,58.5,77.5,
0,0,37,61,15,62,17,61,47,79,70,61,70,46,56,28,86,61,3,86,12,62,
0,0,1,86,78,61,94,61,1,86,68,46,1,89,75,61,11.25,63.5,14.5,54,44,61,
0,0,91,79,51,16,52.25,23,84,79,48,75,1,89,69,49,83,61,104,64,84.5,78.5,
0,0,64.5,79,85,61,58.75,62,74,61,75,61,64,85,73,61,48,8,76,61,74,61,
0,0,67,46,88,64,68,46,47,79,69,61,72.5,69,59.75,62,91,62.5,5,86,84,79,
0,0,78,79,40,61,28,61,44,61,46,71.5,95,61,76.5,70,94,67.75,79,79,65.5,78.5,
0,0,41,62,1,88,8,86,54.75,81,37,66,101,64,70.5,86,98,61,13.25,60,99,61,
0,0,66,50,68,61,66,16,35,61,57.25,71.25,29,79,55,89,33,67,77,66,75,79,
0,0,60,89,75,79,37,63.5,97,64,62,71.5,61,55,69,46,86,64,72,61,57.5,65.25,
0,0,72,72,69,89,86,61,104,64,10,89,68,89,48,64,72,72,17.25,77.5,24,61,
0,0,29,61,24.5,63.5,1,86,84,61,52.25,63.75,39,79,78,61,24,61,98,61,43,61,
0,0,51,66,64.5,53,104,64,60,78,88,61,51.75,85,54,82,75,79,93,70.25,26,61,
0,0,96,62,18,75,19,74,76,61,1,86,101,64,40,79,38,79,1,86,104,64,
0,0,102,61,61.5,39,89,79,66,46,1,86,80,61,5,89,53,88,59,58.5,51,76,
0,0,70.5,63,61,56,47.5,62.5,75,67.5,104,61,55,77,61,74,82.5,69.5,83,61,11.5,61.5,
0,0,1,86,61.5,66.5,61,4.75,60,89,48,71,10,89,33,79,37,61,54,76,33.5,70,
0,0,56.25,52.5,83,61,42,64,58,14,29.5,75.5,9.5,87,77.5,74,57,55,47.5,64.5,81,61,
0,0,58,83.75,69,89,91.5,76.25,93,61,52,89,76,79,103,61,53,89,47,79,63,68.5,
0,0,73,75,53.5,61,38.5,74,79,79,68,67,104,61,71,16,74,73,6,86,103,64,
0,0,85.5,70.5,38,62,104,63.5,57,38,90,61,64,73.5,75,71,52.5,89,88,79,1,89,
0,0,65,74,73,89,6,86,74,77,42,64.5,51,89,101,64,62,38,51,89,86.5,64,
0,0,44,61,71.25,89,10,89,89,61,75.5,63,85,61,46,65.5,104,61,31,61,71,86,
0,0,26,61,77,64,1,89,60,63,1,86,104,64,31,61,59.25,66,70.5,78.25,80,61,
0,0,58.25,81,66,46,80.5,71.5,64,60,28,65,84,61,65,89.5,62,68.5,83,65,41,71.5,
0,0,44,79,104,64,66.5,87,21,70,47,71,73.5,19,104,62.25,87,61,104,64.75,73.5,63.5,
0,0,69,16,63,74,21,79,58,61,19,61,57.5,23,68,86,74,86,41,68.5,68.5,64,
0,0,47,61,11.5,77,36,79,51,89,1,86,70,46,68.75,88.5,52,1,100,61,55,13,
0,0,43,61,77,68,31,63,67,64.5,84,61,73,61,104,61,71,61,48.25,64.5,37,75,
0,0,80,61,67,86,61,57,27.5,69.5,10,88,104,61,78,61,48,79,18,79,75,71,
0,0,19.5,70.5,104,61,45.5,63,45,68.5,19,61,33,61,84.5,69.5,44,65,51,58,64.5,51,
0,0,66,89,1,86,70,61,78,61,93,79,64.5,85.5,82,70,60,31,52,42,87,70,
0,0,1,86,45.5,66,55,89,48,61,37,61,70,61,62.5,81,104,64,89.5,79,55.25,38.75,
0,0,57,17,83,79,59.5,87,67,78,26,79,85.75,69,104,64,79,61,41,61,11,73,
0,0,64,15,1,89,36,79,49,79,97,61,81,61,91,79,21,68,48,61,9,86,
0,0,30,79,101,61,59,58,6,86,48,64.25,56.75,37,68,46,75.75,61.25,95,61,43,61,
0,0,83,74.5,70,61,14.5,57,79,61,4,86,73,61,61.5,88.5,41.5,75.5,37.5,64,54,73,
0,0,48,79,16,73,76,63,51,89,55,23,46,67.25,16,79,87,61,41,79,18,79,
0,0,64,60,91,61,71,48.5,63,89,53,89,48,6,83,61,49,79,11,51,88,75,
0,0,100,64,60,63,5,86,75,67,70,46,64,89,51,86.5,68,86,58,52,57.25,81,
0,0,67.25,18.5,29,64,37,79,55,89,35.5,72.5,100,64,63,78.5,48,9,66,18,58,50,
0,0,57,61,62,89,90,61,78.5,73.5,78,79,47,79,31,63,78,79,38,77,43,75.5,
0,0,82,79,72,70,61,63.5,1,86,88,67,61,1,89,61,60.5,61.5,44,6,54.5,68.5,
0,0,104,64,90,73,1,86,77,79,26,79,50,7.25,38,61,76,79,13,51,82.25,79.5,
0,0,48,61,48,61,27,68,1,89,9,89,60,53,14,60,67,64.5,56,66.5,57.5,47,
0,0,97,64,59,62.5,93.5,79,46,77,6,86,66,46,37,79,104,64,89,73,49,79,
0,0,62,8,27,70,1,89,70,67.5,1,86,92,67,61,84,54.25,77,56,62.5,64,73,
0,0,61,14.25,20,77,72,16,45,79,55,76.5,48,64,90,61,45,79,37,79,65,89,
0,0,45,66,35.5,78.5,11,71.5,66,64.5,66,60,66,48,74,89,5,86,63.25,6.5,46,61,
0,0,57,7,38,61,19,79,88,79,18,79,93,70,46,79,30,61,44,71.5,15,62,
��ǰΪ��3����
Ŀ��1-ʱ��,Ŀ��2-ѹ��,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
0,0,67.5,86.75,87,79,36,79,80,61,61,75,96,61,42,75,38,79,9,86,58.5,77.5,
0,0,37,61,15,62,17,61,47.5,69,1,86,70,46,56,28,83,77.5,70,77,44.75,65.5,
0,0,16,79,104,64,94,61,80,61,51,68,1,89,45,79,49,61,14.5,54,84,61,
0,0,11,69.5,104,61,38.75,67.5,34,79,40,61,47,61,79,61,83,61,104,64,84.5,78.5,
0,0,55.5,38.5,56,61,82,61,52.5,64.5,2,86,49,61,78,71.25,49.5,73.5,88,68,58,64,
0,0,81,61,14,51,1,89,47,79,66,60,72.5,69,59.75,62,87,61,55,6,89,61,
0,0,79,61,44.75,63,48.25,72.5,46.5,77,94,79,95,61,38,79,83,61,4,86,65.5,78.5,
0,0,61.25,79.75,1,88,60.75,74,51,81,37,66,54,61,69,46,64,75,69,86,80,61,
0,0,38.5,64.875,68,61,1,86,62.5,85,11,68,64,45,55,89,86,61,42,79,53.25,70.25,
0,0,60,89,27,79,37,63.5,86,79,56,64.5,61,55,1,86,91.5,61.5,42,6,79.75,67.25,
